Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT_BH-AA-A5BJ012,2,BH-AA-A5BJ012,C5290180
"C1, C10, C11, C13, C16, C2, C5, C6, C7, C8",0603,10,100nF,C5137636
"C12, C9",0603,2,10uF,C5137497
"C14, C15",0603,2,22pF,C7419421
"C20, C27, C28, C3, C4",0603,5,1uF,C5137472
"C23, C30",0805,2,10uF,C1713
"C24, C25, C26",0805,3,47uF,C16780
C29,0805,1,22uF,C5137600
"D1, D2, D3",0805,3,LED 0805 RED,C965812
"D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D320, D321, D322, D323, D324, D325, D326, D327, D328, D329, D330, D331, D332, D333, D334, D335, D336, D337, D338, D339, D340, D341, D342, D343, D344, D345, D346, D347, D348, D349, D350, D351, D352, D353, D354, D355, D356, D357, D358, D359, D360, D361, D362, D363, D364, D365, D366, D367, D368, D369, D370, D371, D372, D373, D374, D375, D376, D377, D378, D379, D380, D381, D382, D383, D384, D385, D386, D387, D388, D389, D390, D391, D392, D393, D394, D395, D396, D397, D398, D399, D400, D401, D402, D403, D404, D405",LED_WS2812B-2020_PLCC4_2.0x2.0mm,105,WS2812B-2020,C965555
D5,1206,1,IR15-21C/TR8,C22357565
IC1,IRMH638TTR2,1,IRM-H638T_TR2,C91447
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,DNP
L1,TMPA 0603S-1R0MN-D,1,TMPA 0603S-1R0MN-D,C305186
Q1,AO3406,1,AO3406,C2909910
"R1, R4",0603,2,27.4,C185346
"R10, R13, R16, R27",0603,4,10K,C98220
R17,0603,1,732K,C246003
R18,0603,1,91K,C137671
R2,0603,1,180K,C123419
R21,0603,1,120,C177328
"R26, R28",0603,2,1K,C22548
R29,0603,1,150,C114608
R3,0603,1,100K,C14675
"R5, R6",0603,2,5.1K,C105580
R7,0603,1,270,C22966
R8,0603,1,750, C23241
"SW1, SW3, SW4",GT-TC149X,3,GT-TC149A-H060-L1,C2834980
"SW2, SW5",PTS526_0P8_CNK,2,PTS526SK08SMTR2LFS,C2800848
SW8,MK-12C02,1,MK-12C02-G025,C778186
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOT-23-5,1,SN74LV1T34,C100024
U4,CONV_TPS61022RWUR,1,TPS61022RWUR,C915088
U5,SOT-5X3_DRL_TEX,1,LM66200DRLR,C3235556
U6,SOT229P700X180-4N,1,AMS1117-3.3,C347222
U7,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSSIQ,C179173
"WIS1, WIS2, WIS3, WIS4",PinSocket_1x05_P2.54mm_Vertical,4,Conn_01x05_Pin,DNP
Y1,XTAL_ABLS-12.000MHZ-B4-T,1,ABLS-12.000MHZ-B4-T,C596818
